Sila;Przemieszczenie
-176.4663;-4.7275
-179.3035;-4.877875
-182.6596;-5.027375
-186.0293;-5.167125
-181.8164;-5.204
-168.5691;-5.139625
-145.9789;-4.991125
-130.9133;-4.840125
-118.6307;-4.689125
-107.3011;-4.537375
-97.24379;-4.385625
-88.25938;-4.241
-79.53564;-4.0975
-70.94781;-3.944875
-62.92422;-3.794
-54.93323;-3.644
-47.17986;-3.494
-39.43841;-3.34325
-31.88292;-3.192875
-24.49751;-3.0435
-16.74334;-2.893875
-9.183884;-2.743
-2.577305;-2.592875
4.477501;-2.443625
11.62847;-2.29375
18.29704;-2.143
24.65566;-1.99275
30.77666;-1.843625
30.2283;-1.693875
38.90753;-1.543
45.32019;-1.393
52.39487;-1.243625
59.16595;-1.093875
65.88618;-0.9431251
72.5611;-0.793
79.05325;-0.6435
85.89903;-0.49375
92.37051;-0.343
98.90079;-0.192875
105.7816;-0.0435
112.7283;0.106125
115.8404;0.23025
105.4454;0.247375
99.84732;0.247375
96.62231;0.247375
94.5727;0.247375
93.15332;0.247375
91.72519;0.247375
90.64754;0.247375
89.95612;0.247375
88.86337;0.247375
88.29832;0.247375
87.66412;0.247375
86.90199;0.247375
86.59283;0.247375
86.07546;0.247375
85.41505;0.247375
85.30379;0.247375
84.70535;0.247375
84.28732;0.247375
84.13633;0.247375
83.5228;0.247375
83.29312;0.247375
83.12305;0.247375
82.50395;0.247375
82.42051;0.247375
82.20275;0.247375
81.73227;0.247375
81.7124;0.247375
81.4263;0.247375
81.07504;0.247375
81.08457;0.247375
80.7937;0.247375
80.49488;0.247375
80.57356;0.247375
80.10864;0.247375
80.0546;0.247375
79.97275;0.247375
79.62943;0.247375
79.59684;0.247375
79.4967;0.247375
79.1049;0.247375
79.24477;0.247375
78.96344;0.247375
78.72025;0.247375
78.83946;0.247375
78.58753;0.247375
78.3213;0.247375
78.51521;0.247375
78.08606;0.247375
78.09162;0.247375
78.07175;0.247375
77.80631;0.247375
77.79757;0.247375
77.77532;0.247375
77.41928;0.247375
77.56392;0.247375
77.37716;0.247375
77.14034;0.247375
77.30484;0.247375
77.03702;0.247375
76.91383;0.247375
77.0704;0.247375
76.68416;0.247375
76.70244;0.247375
76.78111;0.247375
76.41792;0.247375
76.56018;0.247375
76.49899;0.247375
76.21686;0.247375
76.36626;0.247375
76.25898;0.247375
75.94824;0.247375
76.24547;0.247375
75.90612;0.247375
75.79485;0.247375
75.99274;0.247375
75.70267;0.247375
75.6677;0.247375
75.84254;0.247375
75.36093;0.247375
75.55326;0.247375
75.48491;0.247375
75.27987;0.247375
75.39908;0.247375
75.29815;0.247375
75.0192;0.247375
75.31882;0.247375
74.96754;0.247375
74.96834;0.247375
75.06847;0.247375
74.82608;0.247375
74.78078;0.247375
74.9739;0.247375
74.57574;0.247375
74.78158;0.247375
74.687;0.247375
74.44302;0.247375
74.66872;0.247375
74.50024;0.247375
74.29758;0.247375
74.55984;0.247375
74.21175;0.247375
74.24831;0.247375
74.37309;0.247375
74.01387;0.247375
74.16884;0.247375
74.20699;0.247375
73.91771;0.247375
74.09891;0.247375
74.02261;0.247375
73.76433;0.247375
74.02897;0.247375
73.82472;0.247375
73.70074;0.247375
73.87479;0.247375
73.64511;0.247375
73.58392;0.247375
73.79532;0.247375
73.41941;0.247375
73.63557;0.247375
73.54816;0.247375
73.33437;0.247375
73.46312;0.247375
73.44087;0.247375
73.08722;0.247375
73.38365;0.247375
73.0896;0.247375
73.03317;0.247375
73.22868;0.247375
72.91873;0.247375
72.85118;0.247375
73.05383;0.247375
72.68587;0.247375
72.88456;0.247375
72.88217;0.247375
72.65012;0.247375
72.76694;0.247375
72.69621;0.247375
72.44826;0.247375
72.79634;0.247375
72.45222;0.247375
72.36958;0.247375
72.60958;0.247375
72.31315;0.247375
72.36878;0.247375
72.4713;0.247375
72.15579;0.247375
72.33143;0.247375
72.34494;0.247375
72.04374;0.247375
72.31712;0.247375
72.17407;0.247375
72.01592;0.247375
72.22573;0.247375
71.99367;0.247375
71.89909;0.247375
72.17884;0.247375
71.79181;0.247375
71.94598;0.247375
71.97142;0.247375
71.75127;0.247375
71.89751;0.247375
71.90546;0.247375
71.61299;0.247375
71.89671;0.247375
71.7322;0.247375
71.58041;0.247375
71.76161;0.247375
71.63127;0.247375
71.49696;0.247375
71.80214;0.247375
71.40636;0.247375
71.55339;0.247375
71.59949;0.247375
71.38808;0.247375
71.43339;0.247375
71.48345;0.247375
71.24026;0.247375
71.49617;0.247375
71.28716;0.247375
71.23947;0.247375
71.42464;0.247375
71.19735;0.247375
71.16636;0.247375
71.36663;0.247375
71.01933;0.247375
71.14172;0.247375
71.21563;0.247375
70.95416;0.247375
71.16397;0.247375
71.10358;0.247375
70.94701;0.247375
71.1298;0.247375
70.96529;0.247375
70.90331;0.247375
71.10119;0.247375
70.86277;0.247375
70.90092;0.247375
70.99708;0.247375
70.68872;0.247375
70.8437;0.247375
96.36402;0.302125
120.5754;0.441125
130.4086;0.593125
138.2327;0.744625
145.998;0.896
153.0997;1.046375
160.9333;1.195875
168.7678;1.345625
176.235;1.496375
183.4281;1.64675
191.4207;1.796
198.6766;1.94575
206.3227;2.0965
212.938;2.246625
220.1327;2.395875
228.6442;2.54575
236.3992;2.696375
243.7457;2.8465
251.9687;2.995625
259.3644;3.145625
266.5146;3.2965
273.2094;3.4465
280.7657;3.59575
288.1678;3.745625
295.6772;3.896375
302.1749;4.046625
310.1293;4.195875
317.4686;4.345625
323.9838;4.496375
324.928;4.510625
325.3857;4.5265
326.128;4.541
326.4689;4.555875
327.1016;4.5715
328.4105;4.5855
328.9278;4.60125
329.4865;4.616375
330.1406;4.630625
330.7732;4.6465
331.8779;4.661
332.3841;4.675875
332.7298;4.691625
333.7534;4.705625
334.1659;4.72125
334.7214;4.7365
335.3795;4.75075
336.0422;4.7665
337.1072;4.781
337.3861;4.795875
337.7191;4.811625
338.7078;4.825625
339.524;4.84125
340.2932;4.8565
340.5833;4.870625
340.7907;4.886625
341.998;4.901
342.7267;4.915875
343.1773;4.931625
343.9268;4.945625
344.5061;4.96125
345.5059;4.976375
346.0749;4.990625
352.3691;5.1375
306.809;5.1055
224.0721;4.976625
173.5139;4.822875
143.2617;4.670875
121.8716;4.519625
104.6038;4.369625
89.87745;4.22
77.15463;4.069375
66.95271;3.91875
57.29993;3.769125
48.11525;3.61975
39.87392;3.469375
32.9113;3.31875
26.22445;3.169
19.42158;3.01975
13.13527;2.869375
8.735657;2.71875
4.703999;2.568875
0.3202756;2.419625
-4.130205;2.269375
-8.81354;2.118625
-13.14799;1.969
-17.73914;1.819625
-22.22458;1.66925
-26.1569;1.518625
-29.79755;1.369
-33.56695;1.21975
-37.88869;1.069375
-41.59133;0.91875
-45.28284;0.7690001
-49.24854;0.619625
-53.16098;0.469375
-56.7476;0.318875
-60.51302;0.169125
-64.11394;0.019625
-68.01447;-0.13075
-71.09642;-0.28125
-74.04169;-0.431
-77.72366;-0.5805
-81.50339;-0.73075
-84.42402;-0.881375
-87.88109;-1.031125
-91.4375;-1.180375
-94.93828;-1.33075
-98.49469;-1.48125
-101.4908;-1.631
-105.2705;-1.78025
-109.5041;-1.930625
-112.7052;-2.08125
-116.2823;-2.231
-120.1757;-2.380375
-123.9546;-2.53075
-127.8694;-2.681375
-131.1994;-2.831
-134.6835;-2.98025
-139.1896;-3.13075
-142.7102;-3.281375
-145.9312;-3.431125
-149.715;-3.58025
-153.3214;-3.7305
-157.1345;-3.88125
-160.5423;-4.030875
-163.9056;-4.180375
-167.9675;-4.33075
-171.7385;-4.48125
-174.528;-4.630875
-178.4492;-4.780375
-182.2368;-4.93075
-185.5795;-5.08125
-185.5612;-5.179
-180.2532;-5.1675
-157.1313;-5.047
-139.7419;-4.896125
-125.9867;-4.744375
-114.5681;-4.593125
-104.0761;-4.44175
-93.99573;-4.290875
-84.67118;-4.139125
-75.92519;-3.98725
-67.59246;-3.8375
-59.71829;-3.687875
-51.46503;-3.537625
-43.9016;-3.387375
-36.62427;-3.23775
-28.95117;-3.087875
-21.56337;-2.937625
-14.49506;-2.787375
-7.712841;-2.63775
-0.6516774;-2.488
4.166762;-2.351625
12.47009;-2.202625
19.11084;-2.05125
26.11637;-1.899875
29.30164;-1.748875
32.58387;-1.59925
40.67342;-1.4495
47.90147;-1.29925
54.40633;-1.14875
61.0137;-0.998875
67.25788;-0.8495001
73.75717;-0.698875
79.9791;-0.548375
86.28289;-0.398875
93.16444;-0.249375
100.0015;-0.09900001
105.497;0.051625
112.3102;0.201125
118.7158;0.350625
125.7785;0.501
132.0465;0.651625
139.0171;0.80125
146.4748;0.9506251
154.1082;1.101
160.4136;1.25175
167.2872;1.40125
174.3452;1.5505
181.6424;1.701125
188.6312;1.851625
195.6344;2.00125
203.3416;2.1505
210.7223;2.301
217.2661;2.451625
225.1943;2.601125
232.8626;2.7505
239.7919;2.900875
247.5564;3.0515
255.1134;3.20125
262.986;3.350625
270.7155;3.500875
277.768;3.6515
284.8116;3.801125
292.7192;3.9505
299.6055;4.101
306.8868;4.251625
314.9525;4.401125
319.9713;4.5
320.7962;4.51475
321.1927;4.5305
322.0312;4.544625
322.4786;4.559875
323.5435;4.575375
324.6546;4.5895
324.9804;4.605375
325.9277;4.62
326.7598;4.63475
327.3718;4.650625
328.4446;4.664625
328.9445;4.68
329.7861;4.695375
330.7891;4.7095
331.0792;4.725375
331.9359;4.74
332.7433;4.75475
333.5675;4.7705
334.4695;4.784625
334.6014;4.800125
335.2737;4.815375
336.2076;4.8295
336.775;4.845375
337.6595;4.86
337.9631;4.874625
338.5774;4.8905
339.7647;4.904625
340.3266;4.920125
341.0339;4.935375
341.6705;4.9495
342.0146;4.965375
342.9301;4.98
343.3728;4.994875
350.1773;5.1445
342.4207;5.222125
310.7246;5.196
229.4501;5.071125
175.7034;4.917
144.5691;4.76525
122.7752;4.615
105.4883;4.464625
91.2412;4.31375
79.03497;4.1635
67.41365;4.014125
57.20059;3.86425
48.31235;3.713625
40.31738;3.563125
32.64666;3.414
25.4933;3.26425
18.97097;3.1135
13.65741;2.96325
10.64857;2.813875
5.129179;2.66425
1.28905;2.513625
-3.647804;2.36325
-8.628368;2.213875
-13.23303;2.064125
-17.53728;1.9135
-21.42668;1.76325
-25.39953;1.614
-29.61715;1.464125
-33.79901;1.3135
-36.77766;1.163375
-40.56374;1.014
-44.45314;0.8642501
-48.08903;0.713625
-51.50318;0.563125
-55.10728;0.414
-58.82502;0.26425
-62.77641;0.113625
-65.66445;-0.036625
-68.85847;-0.186125
-72.48004;-0.335875
-76.01897;-0.4865
-78.83707;-0.63675
-82.14713;-0.7861251
-85.42379;-0.936
-89.14471;-1.086625
-92.14639;-1.23675
-95.18305;-1.386
-98.92226;-1.53575
-102.6003;-1.6865
-105.7577;-1.83675
-109.33;-1.986
-113.0271;-2.13575
-116.7496;-2.2865
-120.2838;-2.437
-123.4293;-2.586125
-127.2829;-2.73575
-131.4441;-2.8865
-134.7017;-3.03675
-138.4584;-3.186125
-142.6268;-3.335875
-146.2483;-3.4865
-149.9669;-3.636625
-153.3564;-3.786
-157.1806;-3.93575
-161.2735;-4.0865
-164.5804;-4.236625
-167.8618;-4.386125
-172.0055;-4.53575
-175.7081;-4.686375
-179.1239;-4.83675
-182.7391;-4.986125
-186.3178;-5.133125
-184.1513;-5.190375
-173.1873;-5.1415
-149.3454;-4.997
-134.0961;-4.845875
-121.3797;-4.69475
-110.4776;-4.542875
-100.6794;-4.3915
-91.03696;-4.240375
-81.6973;-4.089
-73.13013;-3.9375
-64.59315;-3.786875
-56.76746;-3.636875
-48.88455;-3.487125
-41.38708;-3.337375
-34.21227;-3.186875
-26.90395;-3.036875
-19.60913;-2.887375
-12.60996;-2.737375
-5.627473;-2.586625
1.383623;-2.436875
6.856918;-2.303875
14.46803;-2.15075
20.34823;-1.999625
26.81732;-1.849625
27.19084;-1.698875
34.52937;-1.548125
41.37516;-1.3985
48.18439;-1.249
