Sila;Przemieszczenie
-66.75005;-3.8115
-6.952286;-2.61125
39.17853;-1.4225
90.0801;-0.222375
85.01609;0.244625
78.56528;0.244625
75.46504;0.244625
73.46948;0.244625
72.08824;0.244625
71.11708;0.244625
70.40103;0.244625
69.78194;0.244625
69.17795;0.244625
68.597;0.244625
67.9175;0.244625
67.45895;0.244625
67.15775;0.244625
66.93045;0.244625
66.74369;0.244625
66.46394;0.244625
66.17625;0.244625
65.7765;0.244625
65.48405;0.244625
65.2496;0.244625
65.16615;0.244625
64.99767;0.244625
64.86495;0.244625
64.61541;0.244625
64.36745;0.244625
133.9984;0.8775001
194.1451;2.07825
254.9561;3.278125
316.4561;4.478125
323.4347;4.607625
329.9403;4.72775
336.6518;4.847875
343.0764;4.96775
114.8589;4.477125
27.04541;3.276375
-13.54853;2.07625
-45.15489;0.876375
-73.03317;-0.323625
-100.6826;-1.523625
-128.8883;-2.723625
-158.0199;-3.923625
-186.9432;-5.1235
-93.89242;-4.2775
-30.15041;-3.08575
23.45403;-1.88575
69.68578;-0.68575
121.367;0.514375
176.0515;1.714375
235.8047;2.91425
297.9223;4.11425
322.899;4.576875
329.7766;4.696875
336.3244;4.81675
343.3998;4.936875
197.6911;4.9195
48.28532;3.714625
-0.2741814;2.5145
-34.93786;1.3145
-63.10622;0.1145
-90.36859;-1.085625
-117.8877;-2.285625
-146.5964;-3.485375
-176.2191;-4.685625
-123.6264;-4.719625
-51.36092;-3.512
4.311403;-2.32475
50.49229;-1.124
101.819;0.07625
79.43551;0.193875
74.57654;0.193875
72.06361;0.193875
70.48369;0.193875
69.33212;0.193875
68.41501;0.193875
67.51219;0.193875
66.77309;0.193875
66.03638;0.193875
65.46339;0.193875
65.01754;0.193875
64.77753;0.193875
64.5407;0.193875
64.18069;0.193875
63.85724;0.193875
63.48133;0.193875
63.16344;0.193875
62.9123;0.193875
62.7772;0.193875
62.65084;0.193875
62.46249;0.193875
62.25745;0.193875
61.96976;0.193875
61.70909;0.193875
61.53266;0.193875
148.383;1.16375
208.8141;2.36375
271.0923;3.56375
321.7204;4.517375
328.2618;4.637375
334.9797;4.757375
341.2747;4.8775
348.4392;4.9975
79.69141;4.110125
11.43138;2.910125
